laboratoire,n_hal,n_openalex,n_doi,n_titre,taux_openalex
CMP,14,13,11,2,92.9
RELAX,31,24,24,0,77.4
MDLS,370,282,282,0,76.2
TIMC IMAG,3442,2551,2551,0,74.1
L2S,5618,4096,4096,0,72.9
IDRIS,36,24,24,0,66.7
CROSSING (IRL),158,104,104,0,65.8
LIGM,2295,1506,1506,0,65.6
LIRMM,4111,2618,2618,0,63.7
HEUDIASYC,1854,1156,1156,0,62.4
CRAN,4051,2479,2427,52,61.2
LAMIH,3573,2185,2185,0,61.2
LAMSADE,1893,1148,1148,0,60.6
CREATIS,3412,2040,2040,0,59.8
IRIF,1604,945,945,0,58.9
LIX,2710,1580,1579,1,58.3
ISIR,2255,1314,1314,0,58.3
LMF,659,382,382,0,58.0
LS2N,7376,4232,4230,2,57.4
JFLI,179,101,101,0,56.4
ICUBE,8266,4609,4609,0,55.8
LMF-LSV,1205,667,667,0,55.4
GIPSA-Lab,5267,2890,2890,0,54.9
ETIS,1603,872,872,0,54.4
VERIMAG,630,342,342,0,54.3
LIRIS,4256,2236,2236,0,52.5
LIP6,5819,3012,3012,0,51.8
LIMOS,3184,1640,1640,0,51.5
LAB-STICC,6822,3494,3494,0,51.2
LAAS,6760,3453,3453,0,51.1
IPAL (IRL),237,120,120,0,50.6
LIPN,1161,588,588,0,50.6
LISN,6500,3244,3244,0,49.9
LIS,3755,1843,1843,0,49.1
G-SCOP,2084,1021,1020,1,49.0
LIP,2577,1238,1238,0,48.0
IRISA,11742,5634,5634,0,48.0
I3S,3718,1776,1776,0,47.8
IRIT,7715,3606,3606,0,46.7
CRIL,813,377,377,0,46.4
CRISTAL,7208,3227,3227,0,44.8
LORIA,6392,2806,2805,1,43.9
TIMA,1430,623,623,0,43.6
LABRI,5014,2156,2156,0,43.0
GREYC,2128,910,910,0,42.8
DI ENS,2543,1059,1059,0,41.6
LIG,5249,2160,2160,0,41.2
STMS,1721,513,513,0,29.8
ROOT (IRL),120,32,32,0,26.7
FILOFOCS (UMI),1,0,0,0,0.0
